Code,Customer,Postcode,Product,Transport / 1000,Annual Volume,lat,lon
T0005,2SFG - Amber,B70 0SU, BOX046/102/YPB/900G/1500P ,17.53333333,24300,52.54054,-2.01921
T0005,2SFG - Amber,B70 0SU, BOX046/102/YPL/800G/1500P ,17.53333333,26800,52.54054,-2.01921
T0005,2SFG - Amber,B70 0SU, BOX053/102/NPB/1000G/896P ,29.35267857,4300,52.54054,-2.01921
S0138,2SFG - Shazan,IP23 7AJ, BOX010/102/NPL/S0138/01/750G ,34.765625,5400,52.31989645,1.14413975
S0138,2SFG - Shazan,IP23 7AJ, BOX010/102/YPB/S0138/01/1000G ,34.765625,181500,52.31989645,1.14413975
S0138,2SFG - Shazan,IP23 7AJ, BOX016/102/LPB/1000G/1080P ,41.2037037,183200,52.31989645,1.14413975
S0138,2SFG - Shazan,IP23 7AJ, BOX016/102/YPL/1000G/1080P ,41.2037037,25000,52.31989645,1.14413975
S0138,2SFG - Shazan,IP23 7AJ, BOX046/102/NPL/S0138/01/900G ,37.08333333,25000,52.31989645,1.14413975
S0138,2SFG - Shazan,IP23 7AJ, BOX046/102/YPB/1000G/1200P(2) ,37.08333333,25000,52.31989645,1.14413975
S0138,2SFG - Shazan,IP23 7AJ, 1 stop halal plain lid ,34.765625,25000,52.31989645,1.14413975
S0138,2SFG - Shazan,IP23 7AJ, 130 deep plain LP base ,34.765625,23100,52.31989645,1.14413975
S0138,2SFG - Shazan,IP23 7AJ, 110 plain lid ,37.08333333,178800,52.31989645,1.14413975
S0138,2SFG - Shazan,IP23 7AJ, 110 shallow base ,37.08333333,24000,52.31989645,1.14413975
A0005,AB and S Wholesale Meat,M28 2QB, BOX001/101/YPB/1000G/1250P ,40.2,36300,53.51358,-2.36093
A0005,AB and S Wholesale Meat,M28 2QB, BOX001/101/YPL/1000G/1250P ,40.2,17500,53.51358,-2.36093
A0005,AB and S Wholesale Meat,M28 2QB, BOX001/101/YPL/A0005/01/1000G ,40.2,17900,53.51358,-2.36093
A0005,AB and S Wholesale Meat,M28 2QB, BOX011/101/NPB/800G/2000P ,25.125,28600,53.51358,-2.36093
A0005,AB and S Wholesale Meat,M28 2QB, BOX011/101/NPL/800G/2000P ,25.125,14000,53.51358,-2.36093
A0005,AB and S Wholesale Meat,M28 2QB, BOX011/101/NPL/A0005/01/800G ,25.125,15600,53.51358,-2.36093
L0105,ABP -  Linden Foods,DT71 7SD, BOX001/101/YPL/A9999/01/950G ,48,0,52.414099,1.726909
L0105,ABP -  Linden Foods,DT71 7SD, BOX001/102/LPB/1100G/1080P ,55.55555556,1100,52.414099,1.726909
L0105,ABP -  Linden Foods,DT71 7SD, BOX001/102/YPL/1000G/1120P ,48,1300,52.414099,1.726909
L0105,ABP -  Linden Foods,DT71 7SD, BOX076/102/YPB/950G/1000P ,60,1000,52.414099,1.726909
L0105,ABP -  Linden Foods,DT71 7SD, BOX076/102/YPL/1000G/1000P ,60,1000,52.414099,1.726909
A0054,ABP -  Shrewwsbury,SY1 4AH, BOX001/101/YPL/1000G/1000P ,85.5,0,52.74224,-2.72332
A0054,ABP -  Shrewwsbury,SY1 4AH, BOX001/101/YPL/A9999/01/950G ,68.4,0,52.74224,-2.72332
A0054,ABP -  Shrewwsbury,SY1 4AH, BOX001/103/YPL/A9999/03/1100G ,85.5,0,52.74224,-2.72332
A0054,ABP -  Shrewwsbury,SY1 4AH, BOX016/102/LPB/900G/1512P ,57.57575758,0,52.74224,-2.72332
A0054,ABP -  Shrewwsbury,SY1 4AH, BOX076/102/YPB/950G/1000P ,85.5,0,52.74224,-2.72332
A0054,ABP -  Shrewwsbury,SY1 4AH, BOX076/102/YPL/950G/1000P ,85.5,0,52.74224,-2.72332
A0054,ABP -  Shrewwsbury,SY1 4AH, BOX085/102/YPB/1100G/1000P ,85.5,0,52.74224,-2.72332
A0054,ABP -  Shrewwsbury,SY1 4AH, BOX085/102/YPL/A0054/01/1200G ,85.5,0,52.74224,-2.72332
A0054,ABP -  Shrewwsbury,SY1 4AH, BOX085/102/YPL/A9999/01/1100G ,85.5,0,52.74224,-2.72332
A0055,ABP -  Sturminster,DT10 1HA, BOX001/101/YPL/A9999/01/950G ,41.24,0,50.9372697,-2.2801266
A0055,ABP -  Sturminster,DT10 1HA, BOX001/102/DWB/900G/680P ,102.2058824,7000,50.9372697,-2.2801266
A0055,ABP -  Sturminster,DT10 1HA, BOX001/102/LPB/1250G/1000P ,69.5,0,50.9372697,-2.2801266
A0055,ABP -  Sturminster,DT10 1HA, BOX016/101/YPB/900G/1485P ,46.8013468,6000,50.9372697,-2.2801266
A0055,ABP -  Sturminster,DT10 1HA, BOX016/101/YPL/900G/1485P ,46.8013468,0,50.9372697,-2.2801266
A0055,ABP -  Sturminster,DT10 1HA, BOX076/102/YPB/950G/1000P ,69.5,0,50.9372697,-2.2801266
A0055,ABP -  Sturminster,DT10 1HA, BOX076/102/YPL/950G/1000P ,69.5,0,50.9372697,-2.2801266
A0055,ABP -  Sturminster,DT10 1HA, BOX085/102/YPB/1100G/1000P ,69.5,0,50.9372697,-2.2801266
A0055,ABP -  Sturminster,DT10 1HA, BOX085/102/YPL/A9999/01/1100G ,69.5,0,50.9372697,-2.2801266
A0063,ABP -  Wessex,DT7 9UL, BOX001/101/YPL/A9999/01/950G ,48,0,50.738766,-2.92963
A0063,ABP -  Wessex,DT7 9UL, BOX001/102/LPB/1250G/1000P ,60,0,50.738766,-2.92963
A0063,ABP -  Wessex,DT7 9UL, BOX016/101/YPB/900G/1350P ,44.44444444,0,50.738766,-2.92963
A0063,ABP -  Wessex,DT7 9UL, BOX061/103/YPL/A9999/01/900G ,40.4040404,0,50.738766,-2.92963
A0065,ABP -  York,YO19 5GH, BOX001/101/YPL/A9999/01/950G ,49.2,0,53.9615,-1.00981
A0065,ABP -  York,YO19 5GH, BOX001/102/DWB/900G/680P ,90.44117647,4100,53.9615,-1.00981
A0065,ABP -  York,YO19 5GH, BOX001/102/LPB/1100G/1080P ,56.94444444,2400,53.9615,-1.00981
A0065,ABP -  York,YO19 5GH, BOX001/102/YPL/1000G/1250P ,49.2,3800,53.9615,-1.00981
A0065,ABP -  York,YO19 5GH, BOX016/101/YPB/900G/1485P ,41.41414141,4500,53.9615,-1.00981
A0065,ABP -  York,YO19 5GH, BOX016/101/YPL/900G/1485P ,41.41414141,4500,53.9615,-1.00981
A0065,ABP -  York,YO19 5GH, Box076 102 base ,67.5,25000,53.9615,-1.00981
A0065,ABP -  York,YO19 5GH, Box076 102 lid ,67.5,25000,53.9615,-1.00981
A0203,ABP - Bridge of Allan,FK9 4NE, BOX001/101/LPB/1250G/1000P ,74,46300,56.1529898,-3.9615088
A0203,ABP - Bridge of Allan,FK9 4NE, BOX001/101/YPB/1000G/1250P ,59.2,0,56.1529898,-3.9615088
A0203,ABP - Bridge of Allan,FK9 4NE, BOX001/101/YPL/1000G/1250P ,59.2,48800,56.1529898,-3.9615088
A0203,ABP - Bridge of Allan,FK9 4NE, BOX001/101/YPL/A9999/01/950G ,59.2,0,56.1529898,-3.9615088
A0203,ABP - Bridge of Allan,FK9 4NE, BOX001/102/YPL/A0049/01/1250G ,74,0,56.1529898,-3.9615088
A0203,ABP - Bridge of Allan,FK9 4NE, BOX001/102/YPL/A0049/05/1250G ,74,0,56.1529898,-3.9615088
A0203,ABP - Bridge of Allan,FK9 4NE, BOX001/102/YPL/A0049/06/1250G ,74,1700,56.1529898,-3.9615088
A0203,ABP - Bridge of Allan,FK9 4NE, BOX001/103/YPL/A9999/03/1100G ,74,0,56.1529898,-3.9615088
A0203,ABP - Bridge of Allan,FK9 4NE, BOX016/101/LPB/900G/1485P ,49.83164983,13400,56.1529898,-3.9615088
A0203,ABP - Bridge of Allan,FK9 4NE, BOX016/101/YPL/900G/1485P ,49.83164983,5900,56.1529898,-3.9615088
A0203,ABP - Bridge of Allan,FK9 4NE, BOX016/101/YPL/A9999/01/900G ,68.51851852,1100,56.1529898,-3.9615088
A0203,ABP - Bridge of Allan,FK9 4NE, BOX016/102/NPL/A0042/01/1000G ,68.51851852,2200,56.1529898,-3.9615088
A0203,ABP - Bridge of Allan,FK9 4NE, BOX016/102/NPL/A0049/03/1000G ,68.51851852,4300,56.1529898,-3.9615088
A0203,ABP - Bridge of Allan,FK9 4NE, BOX085/102/YPL/A0049/02/1250G ,68.51851852,0,56.1529898,-3.9615088
A0203,ABP - Bridge of Allan,FK9 4NE, BOX085/103/YPL/A9999/01/1100G ,74,0,56.1529898,-3.9615088
A0198,ABP - Burradon,NE23 7NB, BOX085/102/YPB/1100G/1000P ,60,0,55.05051,-1.57424
A0198,ABP - Burradon,NE23 7NB, BOX085/102/YPL/A9999/01/1100G ,60,0,55.05051,-1.57424
A0041,ABP - Doncaster,DN3 3FF, BOX001/101/YPB/1000G/1250P ,48.4,5000,53.5379026,-1.0334104
A0041,ABP - Doncaster,DN3 3FF, BOX001/101/YPL/1000G/1250P ,48.4,5000,53.5379026,-1.0334104
A0043,ABP - Guildford,GU1 1RP, BOX001/101/LPB/1250G/1000P ,69,0,51.2611974,-0.5711147
A0043,ABP - Guildford,GU1 1RP, BOX001/101/YPL/A9999/01/950G ,55.2,0,51.2611974,-0.5711147
A0043,ABP - Guildford,GU1 1RP, BOX075/103/NPL/A9999/02/950G ,66.34615385,0,51.2611974,-0.5711147
A0043,ABP - Guildford,GU1 1RP, BOX075/103/YPB/1200G/660P ,104.5454545,0,51.2611974,-0.5711147
A0197,ABP - Penston,G33 4AG, BOX001/101/NPB/1050G/1000P ,77,0,55.8666501,-4.1435791
A0197,ABP - Penston,G33 4AG, BOX001/101/NPL/1000G/1000P ,77,1000,55.8666501,-4.1435791
A0197,ABP - Penston,G33 4AG, BOX001/102/LPB/1250G/1000P ,77,10000,55.8666501,-4.1435791
A0197,ABP - Penston,G33 4AG, BOX001/102/YPL/1000G/1000P ,77,0,55.8666501,-4.1435791
A0197,ABP - Penston,G33 4AG, BOX016/102/LPB/1000G/1080P ,71.2962963,0,55.8666501,-4.1435791
A0197,ABP - Penston,G33 4AG, BOX016/102/YPB/1000G/1080P ,71.2962963,0,55.8666501,-4.1435791
A0197,ABP - Penston,G33 4AG, BOX016/102/YPL/1000G/1080P ,71.2962963,0,55.8666501,-4.1435791
A0058,ABP - Perth,PH1 3XB, Box001 1000gsm print to replace 1250gsm ,59.04,18000,56.42004,-3.47608
A0058,ABP - Perth,PH1 3XB, Box085 1000gsm print to replace 1250gsm ,61.5,10000,56.42004,-3.47608
A0058,ABP - Perth,PH1 3XB, BOX001/101/YPL/A9999/01/950G ,41.24,13000,56.42004,-3.47608
A0058,ABP - Perth,PH1 3XB, BOX001/102/DWB/1250G/680P ,75.80882353,0,56.42004,-3.47608
A0058,ABP - Perth,PH1 3XB, BOX001/102/LPB/1250G/1000P ,51.55,121000,56.42004,-3.47608
A0058,ABP - Perth,PH1 3XB, BOX001/102/YPL/A0049/01/1250G ,51.55,36300,56.42004,-3.47608
A0058,ABP - Perth,PH1 3XB, BOX001/102/YPL/A0049/03/1250G ,51.55,46700,56.42004,-3.47608
A0058,ABP - Perth,PH1 3XB, BOX001/102/YPL/A0049/05/1250G ,51.55,0,56.42004,-3.47608
A0058,ABP - Perth,PH1 3XB, BOX001/102/YPL/A0049/06/1250G ,51.55,0,56.42004,-3.47608
A0058,ABP - Perth,PH1 3XB, BOX016/101/YPL/A9999/01/900G ,47.73148148,0,56.42004,-3.47608
A0058,ABP - Perth,PH1 3XB, BOX016/102/LPB/1000G/1080P ,47.73148148,25800,56.42004,-3.47608
A0058,ABP - Perth,PH1 3XB, BOX016/102/NPL/A0042/01/1000G ,47.73148148,5400,56.42004,-3.47608
A0058,ABP - Perth,PH1 3XB, BOX016/102/NPL/A0049/03/1000G ,47.73148148,11900,56.42004,-3.47608
A0058,ABP - Perth,PH1 3XB, BOX016/102/YPL/1000G/1080P ,47.73148148,6500,56.42004,-3.47608
A0058,ABP - Perth,PH1 3XB, BOX060/102/YPL/A0049/02/1000G ,47.73148148,2000,56.42004,-3.47608
A0058,ABP - Perth,PH1 3XB, BOX076/102/YPB/950G/1000P ,51.55,0,56.42004,-3.47608
A0058,ABP - Perth,PH1 3XB, BOX076/102/YPL/950G/1000P ,51.55,0,56.42004,-3.47608
A0058,ABP - Perth,PH1 3XB, BOX085/102/YPL/A0049/02/1250G ,47.73148148,0,56.42004,-3.47608
A0058,ABP - Perth,PH1 3XB, BOX085/102/YPB/1100G/1000P ,51.55,0,56.42004,-3.47608
A0058,ABP - Perth,PH1 3XB, BOX085/102/YPB/1100G/1000P ,51.55,0,56.42004,-3.47608
A0058,ABP - Perth,PH1 3XB, BOX085/102/YPL/A9999/01/1100G ,51.55,0,56.42004,-3.47608
A0058,ABP - Perth,PH1 3XB, BOX085/103/YPL/A9999/01/1100G ,51.55,0,56.42004,-3.47608
A0065,ABP - York,YO19 5GH, BOX001 - Kings Valley 10k MOQ ,50,10000,53.9615,-1.00981
A0065,ABP - York,YO19 5GH, BOX001 - Kings Valley 5k MOQ ,50,5000,53.9615,-1.00981
A0065,ABP - York,YO19 5GH, BOX085/102/YPB/1100G/1000P ,61.5,0,53.9615,-1.00981
A0065,ABP - York,YO19 5GH, BOX085/102/YPL/A9999/01/1100G ,61.5,0,53.9615,-1.00981
A0065,ABP -York,YO19 5GH, BOX016 - Kings Valley 10k MOQ ,50,10000,53.9615,-1.00981
A0065,ABP -York,YO19 5GH, BOX016 - Kings Valley 5K MOQ ,50,5000,53.9615,-1.00981
A0016,AK Stodarts - April 2025 review,EH52/KA8, BOX079/102/YPL/1250G/500P ,73.25,0,55.470832,-4.587508
A0016,AK Stodarts - April 2025 review,EH52/KA8, BOX079/102/YPB/1250G/750P ,48.83333333,0,55.470832,-4.587508
A0016,AK Stodarts - April 2025 review,EH52/KA8, BOX027/102/YPO/1000G/960P ,81.77083333,23000,55.470832,-4.587508
A0016,AK Stodarts - April 2025 review,EH52/KA8, BOX001/102/YPB/1000G/600P ,61.04166667,7700,55.470832,-4.587508
A0016,AK Stodarts - April 2025 review,EH52/KA8, BOX001/102/YPB/1250G/1000P ,61.04166667,3000,55.470832,-4.587508
A0016,AK Stodarts - April 2025 review,EH52/KA8, BOX001/102/LPB/1250G/1000P ,61.04166667,86000,55.470832,-4.587508
A0016,AK Stodarts - April 2025 review,EH52/KA8, BOX001/102/YPL/A0016/01/1250G ,36.625,63000,55.470832,-4.587508
A0016,AK Stodarts - April 2025 review,EH52/KA8, BOX001/102/YPL/1000G/1000P ,36.625,93000,55.470832,-4.587508
A0016,AK Stodarts - April 2025 review,EH52/KA8, BOX016/102/YPL/1000G/1080P ,33.91203704,2200,55.470832,-4.587508
A0016,AK Stodarts - April 2025 review,EH52/KA8, BOX016/102/YPB/1000G/1080P ,33.91203704,1500,55.470832,-4.587508
A0016,AK Stodarts - April 2025 review (alternatives),EH52/KA8, BOX079/101/YPL/1000G/750P ,42.30769231,,55.470832,-4.587508
A0016,AK Stodarts - April 2025 review (alternatives),EH52/KA8, BOX079/101/YPB/1250G/750P ,42.30769231,,55.470832,-4.587508
A0016,AK Stodarts - April 2025 review (alternatives),EH52/KA8, BOX002/101/YPO/900G/1232P ,25.75549451,,55.470832,-4.587508
A0016,AK Stodarts - April 2025 review (alternatives),EH52/KA8, BOX001/101/YPL/A0016/01/1000G ,25.38461538,,55.470832,-4.587508
A0016,AK Stodarts - April 2025 review (alternatives),EH52/KA8, BOX016/101/YPL/900G/1485P ,21.36752137,,55.470832,-4.587508
A0016,AK Stodarts - April 2025 review (alternatives),EH52/KA8, BOX016/101/YPB/900G/1485P ,21.36752137,,55.470832,-4.587508
A0016,AK Stodarts - March 2025,EH52/KA8, BOX079/102/YPL/1250G/500P ,,0,55.470832,-4.587508
A0016,AK Stodarts - March 2025,EH52/KA8, BOX079/102/YPB/1250G/750P ,,0,55.470832,-4.587508
A0016,AK Stodarts - March 2025,EH52/KA8, BOX027/102/YPO/1000G/960P ,,23000,55.470832,-4.587508
A0016,AK Stodarts - March 2025,EH52/KA8, BOX001/102/YPB/1000G/600P ,,7700,55.470832,-4.587508
A0016,AK Stodarts - March 2025,EH52/KA8, BOX001/102/YPB/1250G/1000P ,31.73076923,3000,55.470832,-4.587508
A0016,AK Stodarts - March 2025,EH52/KA8, BOX001/102/LPB/1250G/1000P ,52.88461538,86000,55.470832,-4.587508
A0016,AK Stodarts - March 2025,EH52/KA8, BOX001/102/YPL/A0016/01/1250G ,31.73076923,63000,55.470832,-4.587508
A0016,AK Stodarts - March 2025,EH52/KA8, BOX001/102/YPL/1000G/1000P ,31.73076923,93000,55.470832,-4.587508
A0016,AK Stodarts - March 2025,EH52/KA8, BOX016/102/YPL/1000G/1080P ,29.38034188,2200,55.470832,-4.587508
A0016,AK Stodarts - March 2025,EH52/KA8, BOX016/102/YPB/1000G/1080P ,29.38034188,1500,55.470832,-4.587508
A0016,AK Stodarts - March 2025 review,EH52/KA8, BOX079/102/YPL/1250G/500P ,,0,55.470832,-4.587508
